"","track_id","track_name","plays","date_retrieved"
"210","7MbT4I8qGntX4fMdqMQgke","peace",NA,"Thu Jun  8 14:59:04 2023"
"211","6MWoRt97mnSTXZhu3ggi9C","hoax",NA,"Thu Jun  8 14:59:04 2023"
"212","43rA71bccXFGD4C8GOpIlN","I Forgot That You Existed",NA,"Thu Jun  8 14:59:04 2023"
"213","1BxfuPKGuaTgP7aM0Bbdwr","Cruel Summer",NA,"Thu Jun  8 14:59:04 2023"
"214","1dGr1c8CrMLDpV6mPbImSI","Lover",NA,"Thu Jun  8 14:59:04 2023"
"215","3RauEVgRgj1IuWdJ9fDs70","The Man",NA,"Thu Jun  8 14:59:04 2023"
"216","3pHkh7d0lzM2AldUtz2x37","The Archer",NA,"Thu Jun  8 14:59:04 2023"
"217","2YWtcWi3a83pdEg3Gif4Pd","I Think He Knows",NA,"Thu Jun  8 14:59:04 2023"
"218","214nt20w5wOxJnY462klLw","Miss Americana & The Heartbreak Prince",NA,"Thu Jun  8 14:59:04 2023"
"219","4y5bvROuBDPr5fuwXbIBZR","Paper Rings",NA,"Thu Jun  8 14:59:04 2023"
"220","12M5uqx0ZuwkpLp5rJim1a","Cornelia Street",NA,"Thu Jun  8 14:59:04 2023"
"221","2dgFqt3w9xIQRjhPtwNk3D","Death By A Thousand Cuts",NA,"Thu Jun  8 14:59:04 2023"
"222","1LLXZFeAHK9R4xUramtUKw","London Boy",NA,"Thu Jun  8 14:59:04 2023"
"223","4AYtqFyFbX0Xkc2wtcygTr","Soon You’ll Get Better (feat. The Chicks)",NA,"Thu Jun  8 14:59:04 2023"
"224","5hQSXkFgbxjZo9uCwd11so","False God",NA,"Thu Jun  8 14:59:04 2023"
"225","6RRNNciQGZEXnqk8SQ9yv5","You Need To Calm Down",NA,"Thu Jun  8 14:59:04 2023"
"226","1SymEzIT3H8UZfibCs3TYi","Afterglow",NA,"Thu Jun  8 14:59:04 2023"
